Schema,Table,FullTableName,Position,Field,DataType,Key,Nullable,Description,TableDescription,SapReference,SourceFile
org,CompanyCode,org.CompanyCode,20,ControllingAreaId,bigint,FK,yes,Assigned controlling area,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,21,TaxJurisdictionSchemaId,bigint,FK,yes,Tax jurisdiction schema,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,22,VatRegistrationNumber,nvarchar(20),,yes,VAT registration number,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,23,AddressId,bigint,FK,yes,Registered address,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,24,MaxExchangeRateDeviationPercent,"decimal(9,4)",,yes,Warning threshold on manual rates,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,25,ProposeFiscalYear,bit,,no,Propose fiscal year on entry screens,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,26,NegativePostingAllowed,bit,,no,Allow negative postings on reversal,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,27,BusinessAreaFinancialStatements,bit,,no,Business-area balance sheets required,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,28,ProfitCenterMandatory,bit,,no,Profit centre required on every line,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,29,SegmentMandatory,bit,,no,Segment required on every line,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,30,DocumentEntryScreenVariant,nvarchar(4),,yes,Entry screen variant,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,31,IsProductive,bit,,no,Productive — deletion of test data blocked,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,32,ValidFrom,date,,no,First day the company code may post,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,33,ValidTo,date,,no,Last day the company code may post,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,34,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,35,CreatedBy,nvarchar(64),,no,Creating user name,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,36,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,37,ModifiedBy,nvarchar(64),,yes,Last changing user name,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,38,RowVersion,rowversion,,no,Optimistic concurrency token,Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,CompanyCode,org.CompanyCode,39,IsActive,bit,,no,Soft-delete / active flag (master + config only),Smallest unit producing a complete set of books,T001,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,1,Id,bigint,PK,no,Surrogate key,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,3,BusinessArea,nvarchar(4),AK,no,Business area key,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,4,Name,nvarchar(40),,no,Description,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,5,ConsolidationBusinessArea,nvarchar(4),,yes,Consolidation business area,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,6,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,7,CreatedBy,nvarchar(64),,no,Creating user name,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,8,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,9,ModifiedBy,nvarchar(64),,yes,Last changing user name,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,10,RowVersion,rowversion,,no,Optimistic concurrency token,Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,BusinessArea,org.BusinessArea,11,IsActive,bit,,no,Soft-delete / active flag (master + config only),Cross-company-code reporting unit,TGSB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,1,Id,bigint,PK,no,Surrogate key,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,3,FunctionalArea,nvarchar(16),AK,no,Functional area key,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,4,Name,nvarchar(40),,no,Description,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,5,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,6,CreatedBy,nvarchar(64),,no,Creating user name,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,7,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,8,ModifiedBy,nvarchar(64),,yes,Last changing user name,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,9,RowVersion,rowversion,,no,Optimistic concurrency token,Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,FunctionalArea,org.FunctionalArea,10,IsActive,bit,,no,Soft-delete / active flag (master + config only),Cost-of-sales classification,TFKB,01_enterprise_structure.md
org,Segment,org.Segment,1,Id,bigint,PK,no,Surrogate key,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,3,Segment,nvarchar(10),AK,no,Segment key,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,4,Name,nvarchar(40),,no,Description,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,5,DerivationPriority,int,,no,Order in which derivation rules are evaluated,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,6,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,7,CreatedBy,nvarchar(64),,no,Creating user name,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,8,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,9,ModifiedBy,nvarchar(64),,yes,Last changing user name,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,10,RowVersion,rowversion,,no,Optimistic concurrency token,Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Segment,org.Segment,11,IsActive,bit,,no,Soft-delete / active flag (master + config only),Segment for segment reporting (IFRS 8),FAGL_SEGM,01_enterprise_structure.md
org,Plant,org.Plant,1,Id,bigint,PK,no,Surrogate key,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,3,Plant,nvarchar(4),AK,no,Plant key,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,4,CompanyCodeId,bigint,FK,no,Owning company code,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,5,Name,nvarchar(60),,no,Plant name,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,6,CountryCode,nvarchar(3),FK,no,Country,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,7,City,nvarchar(40),,yes,City,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,8,AddressId,bigint,FK,yes,Plant address,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,9,PurchasingOrganizationId,bigint,FK,yes,Default purchasing organisation,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,10,ValuationArea,nvarchar(4),,yes,Valuation area (future inventory module),Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,11,FactoryCalendarId,bigint,FK,yes,Factory calendar,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,12,TaxJurisdictionCode,nvarchar(15),,yes,Tax jurisdiction,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,13,ValidFrom,date,IX,no,First day the record is valid,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,14,ValidTo,date,IX,no,Last day valid (`9999-12-31` = open ended),Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,15,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,16,CreatedBy,nvarchar(64),,no,Creating user name,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,17,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,18,ModifiedBy,nvarchar(64),,yes,Last changing user name,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,19,RowVersion,rowversion,,no,Optimistic concurrency token,Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Plant,org.Plant,20,IsActive,bit,,no,Soft-delete / active flag (master + config only),Operational site / production or storage location,T001W,01_enterprise_structure.md
org,Branch,org.Branch,1,Id,bigint,PK,no,Surrogate key,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,3,Branch,nvarchar(4),AK,no,Branch key,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,4,CompanyCodeId,bigint,FK,no,Owning company code,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,5,Name,nvarchar(60),,no,Branch name,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,6,LocationId,bigint,FK,yes,Physical location,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,7,BusinessAreaId,bigint,FK,yes,Default business area,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,8,ProfitCenterId,bigint,FK,yes,Default profit centre,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,9,TaxNumber,nvarchar(20),,yes,Branch tax registration,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,10,IsHeadOffice,bit,,no,Head-office branch flag,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,11,ValidFrom,date,IX,no,First day the record is valid,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,12,ValidTo,date,IX,no,Last day valid (`9999-12-31` = open ended),Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,13,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,14,CreatedBy,nvarchar(64),,no,Creating user name,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,15,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,16,ModifiedBy,nvarchar(64),,yes,Last changing user name,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,17,RowVersion,rowversion,,no,Optimistic concurrency token,Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Branch,org.Branch,18,IsActive,bit,,no,Soft-delete / active flag (master + config only),Branch / office of a company code,J_1BBRANCH,01_enterprise_structure.md
org,Location,org.Location,1,Id,bigint,PK,no,Surrogate key,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,3,LocationCode,nvarchar(10),AK,no,Location key,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,4,Name,nvarchar(60),,no,Location name,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,5,AddressId,bigint,FK,yes,Address,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,6,CountryCode,nvarchar(3),FK,no,Country,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,7,RegionCode,nvarchar(3),FK,yes,Region / province,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,8,Latitude,"decimal(9,6)",,yes,Geo latitude,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,9,Longitude,"decimal(9,6)",,yes,Geo longitude,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,10,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,11,CreatedBy,nvarchar(64),,no,Creating user name,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,12,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,13,ModifiedBy,nvarchar(64),,yes,Last changing user name,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,14,RowVersion,rowversion,,no,Optimistic concurrency token,Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Location,org.Location,15,IsActive,bit,,no,Soft-delete / active flag (master + config only),Physical location (address anchor),TLOC,01_enterprise_structure.md
org,Department,org.Department,1,Id,bigint,PK,no,Surrogate key,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,3,DepartmentCode,nvarchar(10),AK,no,Department key,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,4,CompanyCodeId,bigint,FK,no,Owning company code,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,5,ParentDepartmentId,bigint,FK,yes,Parent department (hierarchy),"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,6,Name,nvarchar(60),,no,Department name,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,7,CostCenterId,bigint,FK,yes,Default cost centre,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,8,ManagerBusinessPartnerId,bigint,FK,yes,"Head of department (BP, employee role)","Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,9,ValidFrom,date,IX,no,First day the record is valid,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,10,ValidTo,date,IX,no,Last day valid (`9999-12-31` = open ended),"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,11,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,12,CreatedBy,nvarchar(64),,no,Creating user name,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,13,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,14,ModifiedBy,nvarchar(64),,yes,Last changing user name,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,15,RowVersion,rowversion,,no,Optimistic concurrency token,"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,Department,org.Department,16,IsActive,bit,,no,Soft-delete / active flag (master + config only),"Internal department, used for approval routing",T527X,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,1,Id,bigint,PK,no,Surrogate key,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,3,SalesOrganization,nvarchar(4),AK,no,Sales organisation key,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,4,CompanyCodeId,bigint,FK,no,Assigned company code,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,5,Name,nvarchar(60),,no,Description,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,6,CurrencyCode,nvarchar(5),FK,no,Statistics currency,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,7,AddressId,bigint,FK,yes,Address,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,8,CreatedAt,datetime2(3),,no,Creation timestamp (UTC),Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,9,CreatedBy,nvarchar(64),,no,Creating user name,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,10,ModifiedAt,datetime2(3),,yes,Last change timestamp (UTC),Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,11,ModifiedBy,nvarchar(64),,yes,Last changing user name,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,12,RowVersion,rowversion,,no,Optimistic concurrency token,Sales organisation,TVKO,01_enterprise_structure.md
org,SalesOrganization,org.SalesOrganization,13,IsActive,bit,,no,Soft-delete / active flag (master + config only),Sales organisation,TVKO,01_enterprise_structure.md
org,DistributionChannel,org.DistributionChannel,1,Id,bigint,PK,no,Surrogate key,Distribution channel,TVTW,01_enterprise_structure.md
org,DistributionChannel,org.DistributionChannel,2,TenantId,int,"FK,IX",no,Owning tenant — every query is filtered by it,Distribution channel,TVTW,01_enterprise_structure.md
org,DistributionChannel,org.DistributionChannel,3,DistributionChannel,nvarchar(2),AK,no,Distribution channel key,Distribution channel,TVTW,01_enterprise_structure.md
org,DistributionChannel,org.DistributionChannel,4,Name,nvarchar(40),,no,Description,Distribution channel,TVTW,01_enterprise_structure.md
